시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
율전초,경기도,수원시,경기도 수원시 장안구 율전로 113,경기도 수원시 장안구 율전동 308-6,37.29951575,126.9686866,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
입북초,경기도,수원시,경기도 수원시 권선구 율전로 10,경기도 수원시 권선구 입북동 230-3,37.29451623,126.9601632,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
세곡초,경기도,수원시,경기도 수원시 권선구 세권로 207번길 32,경기도 수원시 권선구 권선동 1044,37.25629813,127.0283401,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
황곡초,경기도,수원시,경기도 수원시 영통구 영통로 518,경기도 수원시 영통구 영통동 948-3,37.2655424,127.0782969,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
송원초,경기도,수원시,경기도 수원시 장안구 수일로 185,경기도 수원시 장안구 조원동 872,37.30849343,127.010124,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
수일초,경기도,수원시,경기도 수원시 장안구 수일로 85,경기도 수원시 장안구 파장동 411,37.31086106,127.0008865,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
조원초,경기도,수원시,경기도 수원시 장안구 금당로 53,경기도 수원시 장안구 조원동 390,37.30321326,127.0172011,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
다솔초,경기도,수원시,경기도 수원시 장안구 이목로 24-35,경기도 수원시 장안구 정자동 946,37.30869676,126.987669,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
한일초,경기도,수원시,경기도 수원시 장안구 수일로 150,경기도 수원시 장안구 조원동 882,37.30709739,127.0058122,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
대평초,경기도,수원시,경기도 수원시 장안구 대평로 111,경기도 수원시 장안구 정자동 871-2,37.29774522,126.9907648,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
원일초,경기도,수원시,경기도 수원시 영통구 중부대로448번길 84,경기도 수원시 영통구 원천동 549-1,37.26779736,127.0602571,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
안룡초,경기도,수원시,경기도 수원시 권선구 곡반정로33번길 21,경기도 수원시 권선구 곡반정동 606,37.23332545,127.0247048,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
명당초,경기도,수원시,경기도 수원시 권선구 세권로 319,경기도 수원시 권선구 권선동 1301,37.25225192,127.0393016,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
가온초,경기도,수원시,경기도 수원시 권선구 금곡로73번길 36,경기도 수원시 권선구 금곡동 491,37.27549141,126.9364215,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
구운초,경기도,수원시,경기도 수원시 권선구 여기산로 29,경기도 수원시 권선구 구운동 465,37.28066615,126.9779455,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
신성초,경기도,수원시,경기도 수원시 영통구 청명북로 42,경기도 수원시 영통구 영통동 1049-2,37.25547143,127.0816557,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
잠원초,경기도,수원시,경기도 수원시 영통구 태장로54번길 11,경기도 수원시 영통구 망포동 687,37.23872914,127.0525213,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
영일초,경기도,수원시,경기도 수원시 영통구 덕영대로1673번길 17,경기도 수원시 영통구 영통동 988-4,37.24845193,127.0735665,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
영통초,경기도,수원시,경기도 수원시 영통구 영통로 328,경기도 수원시 영통구 영통동 963-3,37.25451415,127.0644383,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
고현초,경기도,수원시,경기도 수원시 권선구 고현로 12,경기도 수원시 권선구 고색동 280,37.24914159,126.9881439,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
오목초,경기도,수원시,경기도 수원시 권선구 오목천로 24,경기도 수원시 권선구 오목천동 422-1,37.23969613,126.9656145,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
탑동초,경기도,수원시,경기도 수원시 권선구 탑동로 55,경기도 수원시 권선구 탑동 755,37.27354886,126.9728696,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
수원초,경기도,수원시,경기도 수원시 팔달구 팔달로110번길 26,경기도 수원시 팔달구 고등동 19,37.27783129,127.0043475,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
고색초,경기도,수원시,경기도 수원시 권선구 매송고색로 681,경기도 수원시 권선구 고색동 887-59,37.25156123,126.9783835,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
일월초,경기도,수원시,경기도 수원시 권선구 일월천로16번길 27,경기도 수원시 권선구 구운동 891,37.28421904,126.9743928,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
금곡초,경기도,수원시,경기도 수원시 권선구 서수원로617번길 30,경기도 수원시 권선구 금곡동 1004,37.27970688,126.9526515,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
매산초,경기도,수원시,경기도 수원시 팔달구 향교로 93,경기도 수원시 팔달구 매산로3가 13,37.27214613,127.0107555,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
천천초,경기도,수원시,경기도 수원시 장안구 정자로42번길 17,경기도 수원시 장안구 천천동 512,37.30058446,126.982582,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
율현초,경기도,수원시,경기도 수원시 팔달구 정자천로32번길 55,경기도 수원시 팔달구 화서동 710,37.28722869,126.9828949,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
효성초,경기도,수원시,경기도 수원시 팔달구 월드컵로 256번길,경기도 수원시 팔달구 우만동 14-1,37.28347335,127.0393624,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
매현초,경기도,수원시,경기도 수원시 영통구 동탄원천로881번길 77,경기도 수원시 영통구 매탄동 1278,37.25654437,127.0420138,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
망포초,경기도,수원시,경기도 수원시 영통구 동탄지성로 550-10,경기도 수원시 영통구 망포동 750,37.24065005,127.0470226,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
세류초,경기도,수원시,경기도 수원시 권선구 세류로 78,경기도 수원시 권선구 세류동 69-2,37.26636058,127.010354,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
흥덕3교,경기도,수원시,,경기도 수원시 영통구 하동 1047-1,37.28000819,127.0702489,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
칠보초,경기도,수원시,경기도 수원시 권선구 금호로37번길 15,경기도 수원시 권선구 금곡동 245-2,37.26986181,126.9553744,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
당수초,경기도,수원시,경기도 수원시 권선구 당진로 6,경기도 수원시 권선구 당수동 244-3,37.28966434,126.9415403,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
영동초,경기도,수원시,경기도 수원시 영통구 봉영로1517번길 40,경기도 수원시 영통구 영통동 967-4,37.24989846,127.0660942,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
원천초,경기도,수원시,경기도 수원시 영통구 매영로 103,경기도 수원시 영통구 매탄동 1212,37.26847708,127.0537706,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
산의초,경기도,수원시,경기도 수원시 영통구 센트럴타운로22번길 25,경기도 수원시 영통구 이의동 1327,37.29037137,127.057187,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
곡반초,경기도,수원시,경기도 수원시 권선구 덕영대로 1323번길 26-14,경기도 수원시 권선구 권선동 1322,37.24687115,127.0362137,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
명인초,경기도,수원시,경기도 수원시 장안구 대평로52번길 21,경기도 수원시 장안구 정자동 884-7,37.29423188,126.9948897,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
숙지초,경기도,수원시,경기도 수원시 장안구 덕영대로735번길 23-1,경기도 수원시 장안구 화서동 651,37.28323146,126.9917106,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
송림초,경기도,수원시,경기도 수원시 장안구 대평로51번길 65,경기도 수원시 장안구 정자동 889-1,37.2912808,126.9917372,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
상률초,경기도,수원시,경기도 수원시 장안구 덕영대로417번길 98,경기도 수원시 장안구 율전동 142-22,37.30476787,126.9695872,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
천일초,경기도,수원시,경기도 수원시 장안구 정자로19번길 13,경기도 수원시 장안구 천천동 570,37.30095712,126.9781743,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
권선초,경기도,수원시,경기도 수원시 권선구 세지로126번길 27,경기도 수원시 권선구 권선동 948,37.26329738,127.0217658,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
매원초,경기도,수원시,경기도 수원시 영통구 광교호수공원로 100,경기도 수원시 영통구 원천동 595,37.27438801,127.0637213,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
영덕초,경기도,수원시,경기도 수원시 영통구 영통로 438,경기도 수원시 영통구 영통동 957-2,37.25905057,127.0739487,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
광교초,경기도,수원시,경기도 수원시 영통구 대학로 91,경기도 수원시 영통구 이의동 1208,37.3038514,127.0461691,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
한누리유치원,경기도,수원시,경기도 수원시 영통구 창룡대로256번길 14,경기도 수원시 영통구 이의동 1284-1,37.2947692,127.0374446,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
구운초,경기도,수원시,경기도 수원시 권선구 여기산로 29,경기도 수원시 권선구 구운동 465,37.2808400,126.9779104,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
남수원초,경기도,수원시,경기도 수원시 권선구 경수대로235번길 24,경기도 수원시 권선구 세류동 1130,37.2498806,127.0164989,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
세류초,경기도,수원시,경기도 수원시 권선구 세류로 78,경기도 수원시 권선구 세류동 63,37.2665543,127.0101912,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
상촌초,경기도,수원시,경기도 수원시 권선구 금곡로31번길 92,경기도 수원시 권선구 금곡동 699,37.2732530,126.9353281,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
가온초,경기도,수원시,경기도 수원시 권선구 금곡로73번길 36,경기도 수원시 권선구 금곡동 1079,37.2755079,126.9366199,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
당수초,경기도,수원시,경기도 수원시 권선구 당진로 6,경기도 수원시 권선구 당수동 244-3,37.2896886,126.9416559,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
정천초,경기도,수원시,경기도 수원시 장안구 화산로 83,경기도 수원시 장안구 천천동 335,37.2912556,126.9826898,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
천일초,경기도,수원시,경기도 수원시 장안구 정자로19번길 13,경기도 수원시 장안구 천천동 570,37.3009698,126.9781792,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
효정초,경기도,수원시,경기도 수원시 권선구 동수원로285번길 5,경기도 수원시 권선구 권선동 1233,37.2551512,127.0348711,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
선행초,경기도,수원시,경기도 수원시 권선구 세권로196번길 21,경기도 수원시 영통구 권선동 1331,37.2543848,127.0259805,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
태장초,경기도,수원시,경기도 수원시 영통구 태장로71번길 30,경기도 수원시 영통구 망포동 371,37.2408720,127.0546251,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
영동초,경기도,수원시,경기도 수원시 영통구 봉영로1517번길 40,경기도 수원시 영통구 영통동 967-4,37.2499180,127.0661093,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
대선초,경기도,수원시,경기도 수원시 영통구 봉영로 1432-19,경기도 수원시 영통구 망포동 710,37.2419881,127.0649928,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
잠원초,경기도,수원시,경기도 수원시 영통구 태장로54번길 11,경기도 수원시 영통구 망포동 687,37.2388809,127.0524466,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
영통초,경기도,수원시,경기도 수원시 영통구 영통로 328,경기도 수원시 영통구 영통동 963-3,37.2545142,127.0644383,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
송죽초,경기도,수원시,경기도 수원시 장안구 송원로41번길 34,경기도 수원시 장안구 송죽동 502,37.3007513,127.0059841,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
상촌초,경기도,수원시,경기도 수원시 권선구 금곡로31번길 92,경기도 수원시 권선구 금곡동 699,37.27320642,126.9353319,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
정천초,경기도,수원시,경기도 수원시 장안구 화산로 83,경기도 수원시 장안구 천천동 335,37.2912382,126.9827548,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
효정초,경기도,수원시,경기도 수원시 권선구 동수원로285번길 5,경기도 수원시 권선구 권선동 1233,37.25513574,127.0349022,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
선행초,경기도,수원시,경기도 수원시 권선구 세권로196번길 21,경기도 수원시 권선구 권선동 1331,37.25438485,127.0259805,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
태장초,경기도,수원시,경기도 수원시 영통구 태장로71번길 30,경기도 수원시 영통구 망포동 371,37.24087205,127.0546251,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
대선초,경기도,수원시,경기도 수원시 영통구 봉영로1432-19,경기도 수원시 영통구 망포동 710,37.24194618,127.0646545,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
송죽초,경기도,수원시,경기도 수원시 장안구 송원로41번길 34,경기도 수원시 장안구 송죽동 502,37.30076246,127.0060008,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
청명초,경기도,수원시,경기도 수원시 영통구 봉영로1744번길 41,경기도 수원시 영통구 영통동 1053-6,37.26563109,127.0851747,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
금호초,경기도,수원시,경기도 수원시 권선구 칠보로 142,경기도 수원시 권선구 호매실동 1364,37.26487765,126.9536054,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
약수초등학교,전라남도,장성군,,전라남도 장성군 북하면 약수리 411-1,35.4075447,126.8805705,전라남도 장성군청 건설과,061-390-7449,2026-02-11,4980000,전라남도 장성군
북이초등학교,전라남도,장성군,,전라남도 장성군 북이면 신평리 16-5,35.43197832,126.804526,전라남도 장성군청 건설과,061-390-7449,2026-02-11,4980000,전라남도 장성군
북일초등학교,전라남도,장성군,,전라남도 장성군 북일면 오산리 656-16,35.38389032,126.7951902,전라남도 장성군청 건설과,061-390-7449,2026-02-11,4980000,전라남도 장성군
사창초등학교,전라남도,장성군,,전라남도 장성군 삼계면 사창리 244-1,35.2599109,126.6667825,전라남도 장성군청 건설과,061-390-7449,2026-02-11,4980000,전라남도 장성군
중앙초등학교,전라남도,장성군,,전라남도 장성군 장성읍 영천리 864-1,35.299961,126.7865862,전라남도 장성군청 건설과,061-390-7449,2026-02-11,4980000,전라남도 장성군
매산초,경기도,수원시,경기도 수원시 팔달구 향교로 93,경기도 수원시 팔달구 매산로3가 13,37.2721639,127.0107891,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
영화초,경기도,수원시,경기도 수원시 장안구 경수대로 838,경기도 수원시 장안구 조원동 556,37.2969750,127.0165000,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
매여울초,경기도,수원시,경기도 수원시 팔달구 권광로260번길 20,경기도 수원시 팔달구 인계동 385,37.2705652,127.0367983,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
효성초,경기도,수원시,경기도 수원시 팔달구 월드컵로 256,경기도 수원시 팔달구 우만동 14-1,37.2834866,127.0393929,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
곡란초등학교,경기도,군포시,경기도 군포시 고산로677번길 24-42,경기도 군포시 산본동 1058,37.3742439131,126.9338505536,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
양정초등학교,경기도,군포시,경기도 군포시 오금로 131,경기도 군포시 금정동 850-1,37.3593062733,126.9406944877,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
금정초등학교,경기도,군포시,경기도 군포시 금정로 40,경기도 군포시 금정동 703,37.36646403,126.941225,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
신기초등학교,경기도,군포시,경기도 군포시 삼성로28번길 3,경기도 군포시 부곡동 1208,37.33864487,126.9327812,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
오금초등학교,경기도,군포시,경기도 군포시 번영로 366,경기도 군포시 산본동 1156-22,37.34799594,126.9259853,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
관모초등학교,경기도,군포시,경기도 군포시 곡란로8번길 35-22,경기도 군포시 산본동 1054,37.37620221,126.938033,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
당정초등학교,경기도,군포시,경기도 군포시 고산로151번길 26-24,경기도 군포시 당정동 972-1,37.34657104,126.9547603,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
부곡중앙초등학교,경기도,군포시,경기도 군포시 송부로273번길 7,경기도 군포시 부곡동 1113,37.32314464,126.9411386,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
송안초등학교,경기도,군포시,경기도 군포시 송부로73번길 7,경기도 군포시 도마교동 458-2,37.31798939,126.9211924,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
대야초등하교,경기도,군포시,경기도 군포시 대야2로 148,경기도 군포시 대야미동 220-4,37.32937847,126.9152247,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
둔대초등학교,경기도,군포시,경기도 군포시 호수로 305-14,경기도 군포시 둔대동 219,37.32663436,126.9109116,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
도장초등학교,경기도,군포시,경기도 군포시 번영로 371,경기도 군포시 산본동 1155-5,37.34864542,126.9236158,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
당동초등학교,경기도,군포시,경기도 군포시 용호1로 34,경기도 군포시 당동 967,37.3459149,126.9394990014,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
옥천초등학교,경기도,군포시,경기도 군포시 용호2로54번길 12,경기도 군포시 당동 884,37.34387477,126.9452915,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
용호초등학교,경기도,군포시,경기도 군포시 용호2로 12,경기도 군포시 당동 876,37.3422666,126.9407788,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
화산초등학교,경기도,군포시,경기도 군포시 오금로 48,경기도 군포시 금정동 871-5,37.3532606563,126.9345194,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
흥진초등학교,경기도,군포시,경기도 군포시 오금로 15-40,경기도 군포시 금정동 875-5,37.35386649,126.9281597,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
신흥초등학교,경기도,군포시,경기도 군포시 고산로 470,경기도 군포시 산본동 1145-12,37.35650213,126.9266136,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
능내초등학교,경기도,군포시,경기도 군포시 수리산로 37,경기도 군포시 산본동 1152-5,37.35485983,126.9214275,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
둔전초등학교,경기도,군포시,경기도 군포시 고산로 542,경기도 군포시 산본동 1146-18,37.36148222,126.9243647,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
수리초등학교,경기도,군포시,경기도 군포시 수리산로 125,경기도 군포시 산본동 1150-1,37.36039563,126.9180787,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
궁내초등학교,경기도,군포시,경기도 군포시 수리산로 187,경기도 군포시 산본동 1149-3,37.36461098,126.920170,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
한얼초등학교,경기도,군포시,경기도 군포시 산본천로 136,경기도 군포시 산본동 212-5,37.36623705,126.9356734,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
광정초등학교,경기도,군포시,경기도 군포시 산본로386번길 5-20,경기도 군포시 산본동 1092-2,37.36593675,126.9305979,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
산본초등학교,경기도,군포시,경기도 군포시 산본로386번길 60,경기도 군포시 산본동 209,37.36877717,126.9345913,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
태을초등학교,경기도,군포시,경기도 군포시 산본로 451-49,경기도 군포시 산본동 1089,37.37205306,126.9263632,경기도 군포시청,031-390-0295,2026-03-18,4020000,경기도 군포시
반원초등학교,서울특별시,서초구,서울특별시 서초구 잠원로3길 28,서울특별시 서초구 잠원동 72,37.510312,127.0040022,서울특별시 서초구청,02-2155-7185,2026-02-09,3210000,서울특별시 서초구
매헌초등학교,서울특별시,서초구,서울특별시 서초구 언남길 8,서울특별시 서초구 양재동 311-1,37.47126248,127.0420579,서울특별시 서초구청,02-2155-7185,2026-02-09,3210000,서울특별시 서초구
계성초등학교,서울특별시,서초구,서울특별시 서초구 신반포로19길 26,서울특별시 서초구 반포동 3-1,37.50626532,126.9961242,서울특별시 서초구청,02-2155-7185,2026-02-09,3210000,서울특별시 서초구
서울교대부설초등학교,서울특별시,서초구,서울특별시 서초구 서초중앙로18길 43,서울특별시 서초구 서초동 1665-9,37.49166952,127.0167216,서울특별시 서초구청,02-2155-7185,2026-02-09,3210000,서울특별시 서초구
사남초정문맞은편,부산광역시,사하구,부산광역시 사하구 장평로 390,부산광역시 사하구 괴정동 1206-9,35.09618198,128.98253796,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
사남초정문,부산광역시,사하구,부산광역시 사하구 장평로 390,부산광역시 사하구 괴정동 1206-9,35.09618198,128.98253796,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
승학초정문,부산광역시,사하구,부산광역시 사하구 낙동대로135번길 55,부산광역시 사하구 괴정동 354-111,35.10159470,129.00329046,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
효림초정문,부산광역시,사하구,부산광역시 사하구 장평로 106,부산광역시 사하구 장림동 394,35.07580836,128.97368802,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
중현초(푸른아파트담장),부산광역시,사하구,부산광역시 사하구 다대낙조2길 8,부산광역시 사하구 다대동 1550-4,35.05085209,128.96660131,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
옥천초정문2,부산광역시,사하구,부산광역시 사하구 사하로 134,부산광역시 사하구 감천동 824-13,35.09304621,128.99387234,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
옥천초정문1,부산광역시,사하구,부산광역시 사하구 사하로 134,부산광역시 사하구 감천동 824-13,35.09304621,128.99387234,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
신남초정문,부산광역시,사하구,부산광역시 사하구 비봉로 88,부산광역시 사하구 하단동 870-302,35.09893335,128.96135467,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
보림초(장림1주민센터앞),부산광역시,사하구,부산광역시 사하구 장림로161번길 2,부산광역시 사하구 장림동 1140,35.08300758,128.96690205,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
보림초,부산광역시,사하구,부산광역시 사하구 장림로161번길 20,부산광역시 사하구 장림동 1137,35.08394342,128.96744363,부산광역시 사하구청,051-220-4552,2026-01-13,3340000,부산광역시 사하구
